Rank,NCT_Number,Title,Recruitment,Study Results,Conditions,Interventions,Sponsor_Collaborators,Gender,Age Groups,Phases,Enrollment,Funded Bys,Study Types,Study Designs,Other IDs,First Received,Start Date,Completion Date,Last Updated,Last Verified,Results First Received,Acronym,Primary Completion Date,Outcome Measures,URL
257,NCT02742896,Evaluation for Restoration of Erectile Dysfunction After Cardioversion Treatment Trial,Recruiting,No Results Available,Erectile Dysfunction,Other: Erectile dysfunction,Seoul St. Mary's Hospital,Both,Child|Adult|Senior,,358,Other,Observational,Observational Model: Cohort|Time Perspective: Prospective,ERECT,"October 5, 2014",Dec-13,Nov-17,"April 13, 2016",Apr-16,No Study Results Posted,null,Sep-17,The changes of erectile function|The changes of cognitive function,https://ClinicalTrials.gov/show/NCT02742896
258,NCT02742883,"A Study of Atengenal and Astugenal in Diffuse, Intrinsic Pontine Glioma (DIPG)",Recruiting,No Results Available,"Diffuse, Intrinsic Pontine Glioma",Drug: Antineoplaston therapy (Atengenal + Astugenal),Burzynski Research Institute,Both,Child|Adult|Senior,Phase 2,50,Other,Interventional,Endpoint Classification: Safety/Efficacy Study|Intervention Model: Single Group Assignment|Primary Purpose: Treatment|Masking: Open Label,BRI-BT-55,"April 12, 2016",Apr-16,Feb-21,"April 14, 2016",Apr-16,No Study Results Posted,null,Mar-19,Efficacy Measured by Objective Response Rate|Efficacy Measured by Overall Survival,https://ClinicalTrials.gov/show/NCT02742883
259,NCT02742805,Sustained Effect of Urticaria Remission With Relatively High Dose Vitamin D Supplementation After Omalizumab Discontinuation,Recruiting,No Results Available,Urticaria,"Dietary Supplement: Vitamin D (4,000 IU/day)|Dietary Supplement: Vitamin D (400 IU/day)|Drug: Omalizumab","Selina Gierer, D.O.|University of Kansas Medical Center",Both,Adult|Senior,Phase 4,20,Other,Interventional,"Allocation: Randomized|Endpoint Classification: Efficacy Study|Intervention Model: Parallel Assignment|Primary Purpose: Treatment|Masking: Double Blind (Subject, Investigator, Outcomes Assessor)",STUDY00002729,"April 14, 2016",Feb-16,Apr-17,"April 14, 2016",Apr-16,No Study Results Posted,null,Feb-17,Change in total Urticaria Severity Score (USS)|Number of subjects restarted on Omalizumab,https://ClinicalTrials.gov/show/NCT02742805
260,NCT02742779,"A Study to Determine the Safety, Tolerability, and Pharmacokinetics of GDC-0310 in Healthy Volunteers",Recruiting,No Results Available,Healthy Volunteer,Drug: GDC-0310|Drug: GDC-0310 matching Placebo,"Genentech, Inc.",Both,Adult,Phase 1,316,Industry,Interventional,"Allocation: Randomized|Endpoint Classification: Safety Study|Intervention Model: Parallel Assignment|Masking: Double Blind (Subject, Investigator)",GN29829,"March 11, 2016",Sep-15,May-16,"April 14, 2016",Apr-16,No Study Results Posted,null,May-16,Number of participants with laboratory abnormalities|Number of participants with electrocardiogram (ECG) abnormalities|Number of participants with abnormalities in neurological examination|Incidence of adverse events|Number of participants with vital signs abnormalities|PK-dose proportionality as assessed with AUC of GDC-0310|Maximum plasma concentration (Cmax) of GDC-0310|Minimum plasma concentration (Cmin) of GDC-0310|Time to maximum plasma concentration (tmax) of GDC-0310|Area under the concentration-time curve (AUC) of GDC-0310|Apparent clearance (CL/F) of GDC-0310|Apparent terminal volume of distribution (Vz/F) of GDC-0310|Apparent terminal elimination rate constant (ke) of GDC-0310|Apparent terminal half-life (t1/2) of GDC-0310|Pharmacokinetics (PK) dose proportionality as assessed with Cmax of GDC-0310|Accumulation ratio for MD (calculated using AUC)|Accumulation ratio for MD (calculated using Cmax),https://ClinicalTrials.gov/show/NCT02742779
261,NCT02742766,"Safety, Tolerability and Preliminary Pharmacokinetics (PK) and Pharmacodynamics (PD) of Single and Repeat Oral Doses of GSK3008356 in Healthy and Obese Subjects",Recruiting,No Results Available,Healthy Subjects,Drug: GSK3008356|Drug: Placebo,"GlaxoSmithKline|Nucleus Network, Limited",Both,Adult,Phase 1,94,Industry|Other,Interventional,"Allocation: Randomized|Endpoint Classification: Safety Study|Intervention Model: Parallel Assignment|Primary Purpose: Treatment|Masking: Double Blind (Subject, Investigator)",204856,"March 10, 2016",Mar-16,Nov-16,"April 14, 2016",Apr-16,No Study Results Posted,null,Nov-16,"Part 1: Number of subjects with clinically significant physical examination findings|Part 1: Number of subjects with clinically significant findings in vital signs|Part 1: Number of subjects with clinically significant 12-lead electrocardiograms (ECGs)|Part 1: Number of subjects with clinically significant findings during cardiac monitoring|Part 1: Number of subjects with clinically significant findings in laboratory parameters|Part 1: Number of subjects with adverse events and serious adverse events|Part 2: Number of subjects with clinically significant physical examination findings|Part 2: Number of subjects with clinically significant findings in vital signs|Part 2: Number of subjects with clinically significant 12-lead ECGs|Part 2: Number of subjects with clinically significant findings during cardiac monitoring|Part 2: Number of subjects with clinically significant findings in laboratory parameters|Part 2: Number of subjects with adverse events and serious adverse events|Part 3: Number of subjects with clinically significant physical examination findings|Part 3: Number of subjects with clinically significant findings in vital signs|Part 3: Number of subjects with clinically significant 12-lead ECGs|Part 3: Number of subjects with clinically significant findings during cardiac monitoring|Part 3: Number of subjects with clinically significant findings in laboratory parameters|Part 3: Number of subjects with adverse events and serious adverse events|Part 1: AUC(0-24), AUC(0-t) and AUC(0-inf) of GSK3008356 following a single dose in healthy subjects|Part 1: Maximum observed plasma concentration (Cmax) of GSK3008356 following a single dose in healthy subjects|Part 1: Time to maximum observed plasma concentration (tmax) and elimination half-life (t1/2) of GSK3008356 following a single dose in healthy subjects|Part 1: Cumulative amount of unchanged drug excreted into the urine (Ae) of GSK3008356 following a single dose in healthy subjects|Part 1: Renal clearance of drug from plasma (CLr) of GSK3008356 following a single dose in healthy subjects|Part 1: Dose proportionality of GSK3008356|Part 1: Postprandial triglyceride levels following a single dose of GSK3008356 in healthy subjects|Part 2: Area under the concentration-time curve from time zero (pre-dose) to the end of dosing interval (AUC[0-tau]) of GSK3008356 on Day 1 and Day 14|Part 2: Cmax of GSK3008356 on Day 1 and Day 14|Part 2: tmax of GSK3008356 on Day 1 and Day 14|Part 2: t1/2 of GSK3008356 on Day 14|Part 2: Ae of GSK3008356 on Day 14|Part 2: CLr of GSK3008356 on Day 14|Part 2: Dose proportionality of GSK3008356|Part 2: Observed accumulation ratio of GSK3008356|Part 2: Steady state assessment of GSK3008356 following 14-day repeat dosing|Part 2: Postprandial triglyceride levels following 14-day repeat dosing of GSK3008356 in healthy subjects|Part 3: AUC(0-tau) of GSK3008356 on Day 1 and Day 28|Part 3: Cmax of GSK3008356 on Day 1 and Day 28|Part 3: tmax of GSK3008356 on Day 1 and Day 28|Part 3: t1/2 of GSK3008356 on Day 28|Part 3: Ae of GSK3008356 on Day 28|Part 3: CLr of GSK3008356 on Day 28|Part 3: Dose proportionality of GSK3008356|Part 3: Observed accumulation ratio of GSK3008356|Part 3: Steady state assessment of GSK3008356 following 28-day repeat dosing|Part 3: Postprandial triglyceride levels following 28-day repeat dosing of GSK3008356 in obese subjects",https://ClinicalTrials.gov/show/NCT02742766
262,NCT02742727,CAR-pNK Cell Immunotherapy in CD7 Positive Leukemia and Lymphoma,Recruiting,No Results Available,"Acute Myeloid Leukemia|Precursor T-Cell Lymphoblastic Leukemia-Lymphoma|T-cell Prolymphocytic Leukemia|T-cell Large Granular Lymphocytic Leukemia|Peripheral T-cell Lymphoma, NOS|Angioimmunoblastic T-cell Lymphoma|Extranodal NK/T-cell Lymphoma, Nasal Type|Enteropathy-type Intestinal T-cell Lymphoma|Hepatosplenic T-cell Lymphoma",Biological: anti-CD7 CAR-pNK cells,"PersonGen Biomedicine (Suzhou) Co., Ltd.|The First People's Hospital of Hefei|Hefei binhu hospital",Both,Adult|Senior,Phase 1|Phase 2,10,Industry|Other,Interventional,Endpoint Classification: Safety/Efficacy Study|Intervention Model: Single Group Assignment|Primary Purpose: Treatment|Masking: Open Label,PG-107-002,"March 31, 2016",Mar-16,Mar-18,"April 13, 2016",Apr-16,No Study Results Posted,null,Mar-17,Adverse events attributed to the administration of the anti-CD7 CAR-pNK cells|Clinical response to CD7 CAR-pNK cell infusions|Determine the existence of CD7-CAR-pNK in vivo,https://ClinicalTrials.gov/show/NCT02742727
263,NCT02742675,Androgen Deprivation Therapy or Androgen Deprivation Therapy Plus Definitive Treatment (Radiation or Surgery),Recruiting,No Results Available,Prostate Cancer,Drug: Bicalutamide|Drug: goserelin acetate|Drug: flutamide|Drug: leuprolide acetate|Drug: triptorelin|Procedure: Definitive Treatment,Fudan University,Male,Adult|Senior,Phase 2,200,Other,Interventional,Allocation: Randomized|Endpoint Classification: Safety/Efficacy Study|Intervention Model: Parallel Assignment|Primary Purpose: Treatment|Masking: Open Label,FUSCC-OMPCa,"April 11, 2016",Mar-16,Mar-19,"April 14, 2016",Apr-16,No Study Results Posted,null,Mar-19,Progression-Free Survival|Overall survival|time of PSA progression|the quality of life,https://ClinicalTrials.gov/show/NCT02742675
264,NCT02742636,When is the Best Moment to Remove the Urinary Catheter After Laparoscopic Hysterectomy?,Recruiting,No Results Available,Urinary Tract Infection|Bladder Retention,Device: Foley catheter,Leiden University Medical Center|Bronovo Hospital|Haga Hospital|Alrijne Hospital|Reinier de Graaf Groep|Groene Hart Ziekenhuis|Medical Center Haaglanden,Female,Adult|Senior,,160,Other,Interventional,Allocation: Randomized|Endpoint Classification: Safety/Efficacy Study|Intervention Model: Parallel Assignment|Primary Purpose: Prevention|Masking: Open Label,P15.382,"April 1, 2016",Apr-16,Aug-17,"April 13, 2016",Apr-16,No Study Results Posted,MUCH,Jun-17,Urinary retention (inability to void)|Rate of re-catheterisation|Urinary tract infection (by performing a urine dipstick test and based on clinical symptoms)|Patient satisfaction (self-administrated questionnaire)|Visual analogue scale score (VAS score),https://ClinicalTrials.gov/show/NCT02742636
265,NCT02742610,Smoking Cessation for Depressed Patients Following Psychiatric Hospitalization,Recruiting,No Results Available,Smoking Cessation,Behavioral: Mindfulness with Contingency Management,Fordham University|Albert Einstein College of Medicine of Yeshiva University|University of Texas at Austin|William Marsh Rice University,Both,Adult,Phase 1,10,Other,Interventional,Endpoint Classification: Efficacy Study|Intervention Model: Single Group Assignment|Primary Purpose: Treatment|Masking: Open Label,1R34DA037364-01A1,"February 3, 2016",Nov-15,Jun-17,"April 14, 2016",Apr-16,No Study Results Posted,null,Apr-17,Smoking Status,https://ClinicalTrials.gov/show/NCT02742610
266,NCT02742597,Patient-Centred Innovations for Persons With Multimorbidity - Ontario,Recruiting,No Results Available,Hypertension|Depression|Anxiety|Musculoskeletal Pain|Arthritis|Rheumatoid Arthritis|Osteoporosis|Chronic Obstructive Pulmonary Disease (COPD)|Asthma|Chronic Bronchitis|Cardiovascular Disease|Heart Failure|Stroke|Transient Ischemic Attacks|Ulcer|Gastroesophageal Reflux|Irritable Bowel|Crohn's Disease|Ulcerative Colitis|Diverticulosis|Chronic Hepatitis|Diabetes|Thyroid Disorder|Cancer|Kidney Disease|Urinary Tract Problem|Dementia|Alzheimer's Disease|Hyperlipidemia|HIV,Behavioral: TIP / IMPACT Plus Care Coordination,"Lawson Health Research Institute|Western University, Canada|UniversitÌ© de Sherbrooke|Canadian Institutes of Health Research (CIHR)|Sunnybrook Health Sciences Centre|St. Michael's Hospital, Toronto|University Health Network, Toronto|Toronto East General Hospital|Providence HealthCare|Mount Sinai Hospital, Canada|Toronto Central Community Care Access Centre|Women's College Hospital, Toronto",Both,Adult|Senior,,1980,Other,Interventional,Allocation: Randomized|Endpoint Classification: Efficacy Study|Intervention Model: Parallel Assignment|Masking: Open Label,104191,"March 21, 2016",Jan-16,Mar-19,"April 13, 2016",Mar-16,No Study Results Posted,PACEinMM-ON,Mar-18,Evaluation of Intervention Effectiveness - Change in Self-Management outcomes|Evaluation of Intervention Effectiveness - Change in Transitions of Care|Evaluation of Intervention Effectiveness - Change in Self-Efficacy|Evaluation of Intervention Effectiveness - Change in Patient-Centredness|Evaluation of Intervention Effectiveness - Change in Chronic Diseases|Evaluation of Intervention Effectiveness - Change in Health Status|Evaluation of Intervention Effectiveness - Change in Quality of Life|Evaluation of Intervention Effectiveness - Change in Psychological Well-being|Evaluation of Intervention Effectiveness - Change in Lifestyle/Health Behaviours|Evaluation of Intervention Effectiveness - Change in Equity|Evaluation of Intervention Effectiveness - Change in Demographics,https://ClinicalTrials.gov/show/NCT02742597
267,NCT02742506,Beneficial Effects of Music on Cognition and Consciousness Level,Recruiting,No Results Available,Coma,Other: Electroencephalography (EEG),Hospices Civils de Lyon,Both,Adult|Senior,,240,Other,Interventional,Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: Open Label,2012.75,"April 7, 2016",Jun-13,Jun-17,"April 13, 2016",Apr-16,No Study Results Posted,MUSICOREVEIL,Jun-16,P300 response in brain-damaged patients|P300 response in healthy volunteers|Medial prefrontal cortex activity level in healthy volunteers,https://ClinicalTrials.gov/show/NCT02742506
268,NCT02742493,RCT for the Effectiveness of 3 Orthodontic Retention Schemes on Post-treatment Stability and Gingival Recession,Recruiting,No Results Available,Relapse|Gingival Recession,Other: 0.028 bonded to canines|Other: 0.027 7-strand bonded to all 6|Other: removable Hawley-type,University of Athens,Both,Child,,60,Other,Interventional,Allocation: Randomized|Endpoint Classification: Safety/Efficacy Study|Intervention Model: Parallel Assignment|Primary Purpose: Treatment|Masking: Open Label,294,"April 14, 2016",Apr-16,Sep-21,"April 22, 2016",Apr-16,No Study Results Posted,OrthRe10tion,Sep-21,Changes in Little's Irregularity Index in the mandible (mm)|Changes in Intercanine width in the mandible (mm)|Changes in Interpremolar width in the mandible (mm)|Changes in Intermolar width in the mandible (mm)|Changes in Arch length in the mandible (mm)|Changes in Gingival Recessions on the lingual surfaces of the six lower anterior teeth|Changes in Intercanine width in the maxilla (mm)|Changes in Interpremolar width in the maxilla (mm)|Changes in Intermolar width in the maxilla (mm)|Changes in Arch length in the maxilla (mm)|Changes in Overbite and Overjet (mm)|Accidental bond failures of fixed retainers or breakages of removable ones|Leveling or torque related problems of the lower anterior teeth,https://ClinicalTrials.gov/show/NCT02742493
269,NCT02742402,DIAgnostic iMaging or Observation in Early Equivocal appeNDicitis,Recruiting,No Results Available,Appendicitis,Other: Diagnostic imaging|Other: Observation,Helsinki University Central Hospital,Both,Adult|Senior,,200,Other,Interventional,Allocation: Randomized|Endpoint Classification: Safety/Efficacy Study|Intervention Model: Parallel Assignment|Primary Purpose: Diagnostic|Masking: Open Label,HUS/95/2016,"April 7, 2016",Apr-16,Apr-19,"April 20, 2016",Apr-16,No Study Results Posted,DIAMOND,Apr-18,Appendicitis requiring surgery or other intervention|Complicated appendicitis|Delayed appendicitis diagnosis|Number of diagnostic imaging studies needed|Negative appendectomy|Number of re-admissions to emergency unit|Number of other clinically relevant findings|Number of patients requiring of gynecological consultation|Time for decision,https://ClinicalTrials.gov/show/NCT02742402
270,NCT02742350,Effects of Muscle Trainins Inspiratory Linked to Cardiac Rehabilitation Post-operative of CABG Surgery,Recruiting,No Results Available,Cardiovascular Diseases,"Device: IMT - POWERbreathe Plus Light Resistanceå¨, SP, BR",Federal University of Health Science of Porto Alegre,Both,Adult|Senior,,36,Other,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Primary Purpose: Treatment|Masking: Double Blind (Subject, Outcomes Assessor)",IMT+exercise-CABG,"March 7, 2016",Sep-15,Mar-17,"April 13, 2016",Apr-16,No Study Results Posted,null,Dec-16,Six-minute walk test|30-s chair-stand|respiratory muscle strength test|Quality of life,https://ClinicalTrials.gov/show/NCT02742350
271,NCT02742337,Identification of Epigenetic Biomarkers for Early Detection of Rheumatic Disease,Recruiting,No Results Available,"Arthritis, Rheumatoid",,Arthritis Northwest PLLC|Epigenesys LLC,Female,Adult|Senior,,30,Industry|Other,Observational,Observational Model: Case Control|Time Perspective: Cross-Sectional,AE010831,"April 14, 2016",Oct-15,Sep-16,"April 14, 2016",Apr-16,No Study Results Posted,null,Sep-16,Counts of patients with epigenetic signatures.,https://ClinicalTrials.gov/show/NCT02742337
272,NCT02742324,Trial Ruxolitinib and Peg-interferon Alpha-2a Combination in Patients With Primary Myelofibrosis RUXOPeg,Recruiting,No Results Available,Myelofibrosis,Drug: Ruxolotinib|Drug: peg-IFN alpha -2a,French Innovative Leukemia Organisation,Both,Adult|Senior,Phase 1|Phase 2,42,Other,Interventional,Endpoint Classification: Safety/Efficacy Study|Intervention Model: Single Group Assignment|Primary Purpose: Treatment|Masking: Open Label,RUXOPeg,"March 8, 2016",Mar-16,Oct-18,"April 13, 2016",Apr-16,No Study Results Posted,RUXOPeg,Oct-17,study treatment efficacy/safety phase I|study treatment efficacy/safety phase II|molecular response,https://ClinicalTrials.gov/show/NCT02742324
273,NCT02742311,EuroPainClinicså¨ Study V (Prospective Observational Study),Recruiting,No Results Available,Back Pain|Intervertebral Disc Herniation,Procedure: Endoscopic disectomy,Europainclinics z.Ì¼.,Both,Adult|Senior,Phase 0,500,Other,Interventional,Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Primary Purpose: Treatment|Masking: Open Label,EK: 9N-2015,"April 10, 2016",Jan-16,Jan-19,"April 13, 2016",Apr-16,No Study Results Posted,EPCSV,Jan-17,1.Pain as assessed by the Visual analogue scale All acquired information will be noted in to the special anonymous protocol|2.Pain localization as assessed by note of radiating dermatome as neurologic examination|3.Pain progress as assessed by global pain scale|4. Changes in analgesics drugs consumption as assessed by equianalgesic dose ratios for opioids,https://ClinicalTrials.gov/show/NCT02742311
274,NCT02742272,Clinical Decision Rule for Pediatric Intracranial Pathology,Recruiting,No Results Available,Migraine Headache|Headache,,Children's Hospitals and Clinics of Minnesota,Both,Child|Adult,,500,Other,Observational,Observational Model: Cohort|Time Perspective: Prospective,1506-076,"November 20, 2015",Sep-15,Jul-16,"April 13, 2016",Apr-16,No Study Results Posted,null,Jul-16,Intracranial pathology identified by imaging studies,https://ClinicalTrials.gov/show/NCT02742272
275,NCT02742220,Isometric Handgrip Training on Blood Pressure of Peripheral Artery Disease Patients,Recruiting,No Results Available,Peripheral Artery Disease,Other: Isometric Handgrip Training Group|Other: Control Group,University of Pernambuco|FundaÌ¤Ì£o de Amparo ÌÊ CiÌ»ncia e Tecnologia do Estado de Pernambuco,Both,Adult|Senior,,60,Other,Interventional,"Allocation: Randomized|Endpoint Classification: Safety Study|Intervention Model: Parallel Assignment|Primary Purpose: Treatment|Masking: Double Blind (Subject, Investigator)",IHT PAD,"April 4, 2016",Mar-16,Dec-16,"April 15, 2016",Apr-16,No Study Results Posted,null,Sep-16,Change from baseline in blood pressure at eight weeks|Change from baseline in autonomic cardiac modulation at eight weeks|Change from baseline in vasodilatory capacity at eight weeks|Change from baseline in arterial stiffness at eight weeks,https://ClinicalTrials.gov/show/NCT02742220
276,NCT02742194,Ginger Capsules for the Chronic Treatment of Obesity,Recruiting,No Results Available,Obesity,Dietary Supplement: Dry extract of ginger|Dietary Supplement: Placebo,Federal University of Minas Gerais|Conselho Nacional de Desenvolvimento CientÌ_fico e TecnolÌ_gico,Female,Adult,Phase 2,84,Other,Interventional,"Allocation: Randomized|Endpoint Classification: Efficacy Study|Intervention Model: Parallel Assignment|Primary Purpose: Treatment|Masking: Double Blind (Subject, Investigator)",CAAE 30409114.8.0000.5149,"February 5, 2016",Aug-15,Nov-18,"April 13, 2016",Apr-16,No Study Results Posted,null,Nov-18,Change in basal metabolic rate.|Change in body fat percentage.|Changes in serum levels of inflammatory mediators|Change in depressive symptoms.|Change in anxiety symptoms.|Change in quality of life.|Change in perceived stress.|Change in quality of diet.|Changes in serum levels of neurotrophic factors,https://ClinicalTrials.gov/show/NCT02742194
277,NCT02742168,99mTc-3PRGD2 SPECT/CT in Breast Cancer Patients,Recruiting,No Results Available,Breast Cancer,Radiation: 99mTc-3PRGD2,First Affiliated Hospital of Fujian Medical University,Both,Adult|Senior,Phase 0,20,Other,Interventional,Endpoint Classification: Safety/Efficacy Study|Intervention Model: Single Group Assignment|Primary Purpose: Diagnostic|Masking: Open Label,FirstAHFujian2,"March 8, 2016",Jan-16,Mar-21,"April 13, 2016",Apr-16,No Study Results Posted,null,Dec-20,Visual Assessment of Breast Lesions in 99mTc-3PRGD2 SPECT/CT Scan|Semiquantitative Assessment of Breast Lesions in 99mTc-3PRGD2 SPECT/CT Scan|Adverse events collection|Mammography and/or ultrasound|18F-FDG PET/CT scan|carbohydrate antigen 153,https://ClinicalTrials.gov/show/NCT02742168
278,NCT02742077,Robotic-Assisted Peripheral Intervention for Peripheral Arterial Disease II,Recruiting,No Results Available,Peripheral Arterial Disease,Device: Robotic-assisted peripheral vascular intervention,Corindus Inc.,Both,Adult|Senior,,20,Industry,Interventional,Intervention Model: Single Group Assignment|Primary Purpose: Treatment|Masking: Open Label,2016-01,"April 12, 2016",Mar-16,Aug-16,"April 18, 2016",Apr-16,No Study Results Posted,RAPID II,Jun-16,Clinical Success|Adverse Events|Operator Radiation Exposure Dose|Patient Radiation Exposure Dose,https://ClinicalTrials.gov/show/NCT02742077
279,NCT02742064,Quantified Mobile Sensing for Improving Diagnosis and Measuring Disease Progression,Recruiting,No Results Available,Depression|Bipolar Disorder,Other: Cogito Companion Mobile Phone Application,Cogito Health Inc|Massachusetts General Hospital|Partners HealthCare,Both,Adult|Senior,,1000,Industry|Other,Observational,Observational Model: Case Control|Time Perspective: Prospective,1R44MH107065-01,"April 11, 2016",Apr-15,null,"April 13, 2016",Apr-16,No Study Results Posted,null,Apr-17,Severity of MDD symptoms as assessed by QIDS SR|Severity of Mania symptoms as assessed by ASRM,https://ClinicalTrials.gov/show/NCT02742064
280,NCT02742012,Validation of a Multimodal Indicator of Depth of Anesthesia,Recruiting,No Results Available,Anesthesia,Other: the study is observational,Technische UniversitÌ_t MÌ_nchen,Both,Adult|Senior,,250,Other,Observational,Observational Model: Cohort|Time Perspective: Prospective,AMI-1250-KIE-0250-I,"June 25, 2015",Jun-15,Dec-16,"April 13, 2016",Apr-16,No Study Results Posted,null,Dec-16,"ability of the multimodal indicator of anesthetic depth to discriminate between consciousness and unconsciousness|the indicator's ability to discriminate between consciousness, surgical anesthesia and deep anesthesia",https://ClinicalTrials.gov/show/NCT02742012
281,NCT02741999,A Diagnostic Screening Trial Seeking AL Amyloidosis Very Early,Recruiting,No Results Available,Plasma Cell Dyscrasia|Monoclonal Gammopathy,,Tufts Medical Center,Both,Child|Adult|Senior,,200,Other,Observational,Time Perspective: Prospective,12016,"April 11, 2016",Apr-16,Apr-23,"April 13, 2016",Apr-16,No Study Results Posted,SAVE,Apr-23,Observation of disease progression in participants with AL-associated VL germline genes,https://ClinicalTrials.gov/show/NCT02741999
282,NCT02741973,Yoga in School Sports - a Pilot Study in Germany,Recruiting,No Results Available,Yoga|Stress,Other: Yoga|Other: School sport,"Charite University, Berlin, Germany",Both,Child|Adult,,100,Other,Interventional,Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: Open Label,SchoolYoga,"March 23, 2016",Mar-16,Apr-18,"April 13, 2016",Apr-16,No Study Results Posted,null,Apr-17,"Cohen Perceived Stress Scale (CPS)|WHO-5 questionaire (quality of life)|Hospital Anxiety and Depression (HADS)|Profile of Mood States (POMS)|Visual analogue scales (VAS) for general pain, headache, shoulder and neck tension, fatigue, sleep quality|D2 Test of Attention|Yoga Self-Efficacy Scale|Overall assessment of efficacy and tolerability (Likert scales)",https://ClinicalTrials.gov/show/NCT02741973
283,NCT02741882,Zika and Microcephaly: Case-control Study,Recruiting,No Results Available,Microcephaly,Other: Questionary,LaboratÌ_rio Sabin,Female,Child|Adult|Senior,,90,Industry,Observational,Observational Model: Case Control|Time Perspective: Retrospective,Zika and microcephaly,"April 13, 2016",Feb-16,Aug-16,"April 15, 2016",Apr-16,No Study Results Posted,null,Jun-16,Zika virus infection clinical outcomes during pregnancy|zika virus serology|Chikungunya virus serology|Dengue virus serology,https://ClinicalTrials.gov/show/NCT02741882
284,NCT02741791,A Study to Assess the Efficacy and Safety of AXS-05 in Subjects With Treatment Resistant Major Depressive Disorder,Recruiting,No Results Available,Treatment Resistant Major Depressive Disorder,Drug: AXS-05|Drug: Bupropion,"Axsome Therapeutics, Inc.",Both,Adult,Phase 3,350,Industry,Interventional,"Allocation: Randomized|Endpoint Classification: Safety/Efficacy Study|Intervention Model: Parallel Assignment|Primary Purpose: Treatment|Masking: Double Blind (Subject, Investigator)",AXS-05-301,"April 5, 2016",Mar-16,null,"April 14, 2016",Apr-16,No Study Results Posted,STRIDE-1,Sep-17,Montgomery-ÌÉsberg Depression Rating Scale (MADRS) total score|Clinical Global Impressions-Severity (CGI-S)|Hamilton Depression Rating Scale - 17 items (HAMD-17),https://ClinicalTrials.gov/show/NCT02741791
285,NCT02741765,Exercise and Transcranial Magnetic Stimulation: Increasing Brain Plasticity in Parkinson's Disease,Recruiting,No Results Available,Parkinson Disease,Behavioral: Sham rTMS|Behavioral: Real rTMS|Behavioral: Supervised aerobic exercise,New York University School of Medicine,Both,Adult|Senior,,24,Other,Interventional,"Allocation: Randomized|Endpoint Classification: Safety/Efficacy Study|Intervention Model: Parallel Assignment|Primary Purpose: Supportive Care|Masking: Double Blind (Subject, Investigator)",15-00712,"March 31, 2016",Nov-15,Nov-16,"April 13, 2016",Apr-16,No Study Results Posted,null,Nov-16,Recruitment Enrollment Numbers|Number of enrolled subjects that remain in study|Plasticity measured by TMS-PAS25 (LTP-like plasticity biomarker)|Measurements of lymphocytes|Measurements of TrkB|Measurements of serum BDNF|Timed Up and Go Test|Freezing of Gait Questionnaire (FOG-Q)|Parkinson's Disease Quality of Life (PDQ-39)|Parkinson's Disease Sleep Scale (PDSS)|Frontal Function Assessment (FAB)|LASA Physical Activity Questionnaire (LAPAQ),https://ClinicalTrials.gov/show/NCT02741765
286,NCT02741739,Study of the Blood Concentrations of Two Formulations of REGN1033 in Healthy Subjects,Recruiting,No Results Available,Healthy,Drug: REGN1033,Regeneron Pharmaceuticals,Both,Adult,Phase 1,28,Industry,Interventional,Allocation: Randomized|Endpoint Classification: Pharmacokinetics Study|Intervention Model: Parallel Assignment|Primary Purpose: Basic Science|Masking: Open Label,R1033-HV-1503,"April 13, 2016",Mar-16,Jun-16,"April 15, 2016",Apr-16,No Study Results Posted,null,Jun-16,Serum REGN1033 concentration-time curve (AUC)|Peak REGN1033 concentration (Cmax)|Treatment-emergent adverse events (TEAEs) from baseline to the end of the study|Presence or absence of anti-drug antibody (ADA),https://ClinicalTrials.gov/show/NCT02741739
287,NCT02741661,Influence of Myocardial Shortening on Coronary Tortuosity,Recruiting,No Results Available,Coronary Artery Vessels|Coronary Artery Disease,Other: No intervention. Observational study,Oregon Health and Science University,Both,Adult|Senior,,100,Other,Observational,Observational Model: Case Control|Time Perspective: Retrospective,Coronary Tortuosity,"April 13, 2016",Jul-15,Aug-16,"April 16, 2016",Apr-16,No Study Results Posted,null,Aug-16,Degree of longitudinal shortening|LV mass,https://ClinicalTrials.gov/show/NCT02741661
288,NCT02741622,Brain Derived Neurotropic Factor Response to Aerobic Exercise Intensity in Depressive Patients.,Recruiting,No Results Available,"Depressive Disorder|Depressive Disorder, Major",Behavioral: High aerobic intensity training (HIT)|Behavioral: Long slow distance training (LSD),St. Olavs Hospital|Norwegian University of Science and Technology,Both,Adult,,15,Other,Interventional,Intervention Model: Single Group Assignment|Primary Purpose: Treatment|Masking: Open Label,2015/2230,"March 15, 2016",Mar-16,Dec-17,"April 13, 2016",Apr-16,No Study Results Posted,null,Dec-16,Change in serum brain derived neurotropic factor (BDNF)|Change in affective symptoms|Change in state of anxiety.|Change in subjective exercise experience|Maximal oxygen uptake|Maximal Heart rate,https://ClinicalTrials.gov/show/NCT02741622
